Designator,Mid X,Mid Y,Layer,Rotation
C1,11.10,22.70,Top,90.0
C2,36.88,22.81,Top,90.0
D1,97.10,20.50,Top,0.0
D2,91.00,30.00,Top,0.0
D3,91.00,59.00,Top,0.0
D4,81.10,13.20,Top,180.0
D5, 2.00,18.70,Top,0.0
D6, 2.10,12.10,Top,0.0
D7, 1.80,33.90,Top,0.0
D8,12.00,35.70,Top,90.0
D9,88.60, 7.70,Top,270.0
D10,27.10,18.60,Top,0.0
D11,27.10,12.40,Top,0.0
D12,27.40,33.80,Top,0.0
D13,37.70,35.70,Top,90.0
D14,50.00, 8.00,Top,0.0
D15,76.40,46.20,Top,0.0
DCDC3V3,85.00,81.00,Top,0.0
DCDC5V,85.00,52.00,Top,0.0
J1,97.00,15.80,Top,90.0
J2,87.27, 2.87,Top,0.0
J3,85.80,22.50,Top,180.0
J4,14.00, 3.00,Top,0.0
J5,29.00, 3.00,Top,0.0
J6,44.00, 3.00,Top,180.0
J7,77.60,57.60,Top,90.0
R1,97.10,24.20,Top,0.0
R2,90.00,33.00,Top,90.0
R3,90.00,62.00,Top,90.0
R4,65.20, 1.20,Top,0.0
R5,14.60, 9.60,Top,270.0
R6,10.80, 9.60,Top,270.0
R7,11.50,41.70,Top,90.0
R8,16.40,41.70,Top,90.0
R9,71.00, 5.00,Top,0.0
R10,39.60, 8.50,Top,270.0
R11,35.90, 9.46,Top,270.0
R12,35.70,41.40,Top,90.0
R13,41.40,41.40,Top,90.0
R14,50.00,11.00,Top,0.0
R15,63.20,16.20,Top,0.0
R16,76.20,49.60,Top,0.0
U$1,37.00,80.00,Top,0.0
U$6,56.67,10.15,Top,90.0
U$7, 8.97,32.03,Top,0.0
U$8,34.64,32.00,Top,0.0
U$9,76.97,10.16,Top,90.0
U$10,17.86,23.12,Top,90.0
U$11,43.55,23.07,Top,90.0
U$12,96.00,81.00,Top,0.0
U$13,85.00,62.22,Top,0.0
U$14,96.00,62.18,Top,0.0
U$15,96.07,51.95,Top,0.0
U$16,85.03,33.22,Top,0.0
U$17,96.02,33.18,Top,0.0
U1, 5.17,23.13,Top,90.0
U2,30.86,23.13,Top,90.0
